dictionary,dimension,pole,term,normalized_term,ngram_length,weight,match_type,corpus_match_count,negated_match_count,document_frequency,document_frequency_pct,company_frequency,company_frequency_pct,sector_frequency,sectors_hit,top_cooccurring_dimensions,pmi_own_dimension,pmi_best_other_dimension,best_other_dimension,distinctiveness_pmi_margin,example_snippets
mined,b01,positive,long term prospects,long term prospects,3,0.753,"word-boundary regex, hyphen/space flexible, case-insensitive",16,3,19,0.0095,11,21.15,2,Asset Management/Other; Financials,b07:11; b02:8; b08:7,4.189,2.298,b12,1.89,"good. the office is nice and clean. long term prospects not so good.  | ly career professionals seeking entry level experience, but long term prospects are limited..  | ny and brand value; poor compensation. blackrock has strong long-term prospects in the industry, good job security, and a stellar reputatio"
mined,b01,positive,long term growth,long term growth,3,0.738,"word-boundary regex, hyphen/space flexible, case-insensitive",45,13,57,0.0284,18,34.62,2,Asset Management/Other; Financials,b02:57; b07:26; b06:17,4.189,2.174,b02,2.015,"great values great company. good values  great development  long term growth and diversification plans. hr should be more proactive in r | solid place. people great, clients love us. comp and long term growth.  |  balance door to door transport facility job security. no long term growth less pay. "
mined,b01,positive,long-term success,long term success,3,0.737,"word-boundary regex, hyphen/space flexible, case-insensitive",27,1,28,0.014,15,28.85,2,Asset Management/Other; Financials,b07:28; b06:18; b08:16,4.189,2.499,b11,1.69," and dishonesty, it can undermine teamwork, motivation, and long-term success. over time, this type of leadership style can hurt the comp | liber organization focused on employees, clients, and thier long-term success.. - incredible benefits for medical, dental, investments, a | onsistent leadership.  cares about employee development and long term success.. no meaningful cons to share.. "
mined,b01,positive,a long term,a long term,3,0.736,"word-boundary regex, hyphen/space flexible, case-insensitive",162,62,222,0.1107,30,57.69,2,Asset Management/Other; Financials,b07:114; b06:100; b02:92,4.189,1.768,b11,2.421,"of bonus compensation starting at the associate level is in a long-term stock and option plan that takes 3-5 years to vest; two-yea | ife, perhaps not the place.  good fit for those looking for a long term career..  | tunities for employees. partners group is a great place for a long-term career in private markets. the firm provides a lot of expos"
mined,b01,positive,long term success,long term success,3,0.733,"word-boundary regex, hyphen/space flexible, case-insensitive",27,1,28,0.014,15,28.85,2,Asset Management/Other; Financials,b07:28; b06:18; b08:16,4.189,2.499,b11,1.69," and dishonesty, it can undermine teamwork, motivation, and long-term success. over time, this type of leadership style can hurt the comp | liber organization focused on employees, clients, and thier long-term success.. - incredible benefits for medical, dental, investments, a | onsistent leadership.  cares about employee development and long term success.. no meaningful cons to share.. "
mined,b01,positive,long term career,long term career,3,0.714,"word-boundary regex, hyphen/space flexible, case-insensitive",216,54,261,0.1301,35,67.31,2,Asset Management/Other; Financials,b07:142; b02:111; b08:96,4.189,1.43,b11,2.759,"loyee. outstanding culture. the perfect place to build your long term career.. salary growth is slow so are promotions but can be ignore | e, perhaps not the place.  good fit for those looking for a long term career..  | nities for employees. partners group is a great place for a long-term career in private markets. the firm provides a lot of exposure (in"
mined,b01,positive,a long-term career,a long term career,4,0.695,"word-boundary regex, hyphen/space flexible, case-insensitive",65,29,93,0.0464,20,38.46,2,Asset Management/Other; Financials,b07:53; b06:39; b02:37,4.189,1.597,b11,2.592,"ife, perhaps not the place.  good fit for those looking for a long term career..  | tunities for employees. partners group is a great place for a long-term career in private markets. the firm provides a lot of exposure (in |  highest turnover. avoid these groups if you're looking for a long term career, development and mentorship. 4. untrained, inexperienced c"
mined,b01,positive,long career,long career,2,0.663,"word-boundary regex, hyphen/space flexible, case-insensitive",65,7,72,0.0359,20,38.46,2,Asset Management/Other; Financials,b07:32; b02:24; b06:20,4.189,1.136,b11,3.053,"balance. values good people. seen many employees stay for a long career or even return after leaving.. not many opportunities for p | ok for the experience, not a life long career. good work-life balance; work from home policy; benefits co | life-long career. you get what you put in. survive and you will thrive.. not"
mined,b01,positive,long term employment,long term employment,3,0.652,"word-boundary regex, hyphen/space flexible, case-insensitive",24,8,32,0.016,14,26.92,2,Asset Management/Other; Financials,b07:15; b08:12; b04:11,4.189,1.558,b10,2.631,"eat team to work with. long working hours, uncertainty over long term employment.  | e is comparable with what's out there. pay was not worth my long-term employment there, hoping that management would make good on their prom | wouldn't recommend for long-term employment. above-average salary, decent yearly bonus. benefits, lower"
mined,b01,positive,a long career,a long career,3,0.641,"word-boundary regex, hyphen/space flexible, case-insensitive",39,3,42,0.0209,14,26.92,2,Asset Management/Other; Financials,b07:18; b02:15; b06:13,4.189,1.744,b11,2.445,"e balance. values good people. seen many employees stay for a long career or even return after leaving.. not many opportunities for p | best place i have ever worked. i’ve built a long career at t. rowe price by leveraging the generosity and openness  | lege. was my first job out of college. great groundwork for a long career in finance. none really, left for a higher paying job offer"
mined,b01,positive,long term employees,long term employees,3,0.617,"word-boundary regex, hyphen/space flexible, case-insensitive",103,21,117,0.0583,25,48.08,2,Asset Management/Other; Financials,b07:62; b02:41; b08:38,4.189,1.658,b11,2.531,"re scheme poor work/life balance poor senior management. long term employees are sticking around due to the shares that they received ye | alance. no progression opportunities and they do not reward long term employees in pay..  | appy to work here!. bonuses could be better, especially for long-term employees.. "
mined,b01,positive,long years,long years,2,0.611,"word-boundary regex, hyphen/space flexible, case-insensitive",6,1,7,0.0035,5,9.62,2,Asset Management/Other; Financials,b04:3; b12:2; b02:2,4.189,1.932,b12,2.257,company is best. i was working in the company for almost 12 long years and never felt exhausted. love the company.. when managemen | long years without career progress. the company has unmatched benefits | good place to start a career and settle down for long years. challenging work day in and out to keep us up and running.
mined,b01,positive,long-term employees,long term employees,3,0.607,"word-boundary regex, hyphen/space flexible, case-insensitive",103,21,117,0.0583,25,48.08,2,Asset Management/Other; Financials,b07:62; b02:41; b08:38,4.189,1.658,b11,2.531,"re scheme poor work/life balance poor senior management. long term employees are sticking around due to the shares that they received ye | alance. no progression opportunities and they do not reward long term employees in pay..  | appy to work here!. bonuses could be better, especially for long-term employees.. "
mined,b01,positive,long term employee,long term employee,3,0.605,"word-boundary regex, hyphen/space flexible, case-insensitive",30,2,32,0.016,15,28.85,2,Asset Management/Other; Financials,b08:14; b07:12; b02:11,4.189,1.236,b10,2.953," asset classes. very strong balance sheet and commitment to long-term employee development.. can sometimes be a little bureacratic.  | od benefits, including a pension.  very friendly emploees.. long term employee retention means that sometimes opportunities for advancemen | long-term employee. diverse business providing better stability than most othe"
mined,b01,positive,the career progression,the career progression,3,0.592,"word-boundary regex, hyphen/space flexible, case-insensitive",9,2,11,0.0055,5,9.62,2,Asset Management/Other; Financials,b02:4; b08:4; b12:3,4.189,1.864,b12,2.324,"cent, and people are really nice-- no one will yell at you. the career progression is unclear- you do too many handy work and lose the big pic | poor reward. good name for the next step. secrecy in the career progression.  | development!. the career progression of employees is important to the firm.. the hours can be lo"
mined,b01,positive,long decision,long decision,2,0.585,"word-boundary regex, hyphen/space flexible, case-insensitive",18,1,19,0.0095,13,25.0,2,Asset Management/Other; Financials,b04:19; b07:7; b03:6,4.189,3.07,b04,1.118,"elopment. career development, benefits , employee friendly. long decision time, less opportunities to work across vertical,.  | nization and multiple departments across several countries. long decision-making process - lots of pressure from management to provid | ce. management, work life balance, professional atmosphere. long decision taking process,  politics,. "
mined,b01,positive,career progression,career progression,2,0.583,"word-boundary regex, hyphen/space flexible, case-insensitive",1235,417,1579,0.7873,48,92.31,2,Asset Management/Other; Financials,b07:501; b08:363; b02:361,4.189,1.233,b12,2.956,ht people  dynamic strong esg team. governance unstable and career progression very political.  | ts - work/life balance is valued by all - opportunities for career progression/growth. office/wfh schedule lacks flexibility compared to s | -. lunch and supportive team mates. no career progression for bo. 
mined,b01,positive,progression opportunities,progression opportunities,2,0.582,"word-boundary regex, hyphen/space flexible, case-insensitive",132,46,173,0.0863,33,63.46,2,Asset Management/Other; Financials,b07:173; b12:39; b09:32,4.189,1.87,b07,2.319,"nice people . nice people to work with. uk career progression opportunities can be limited due to the size of the office.  | great company overall with strong progression opportunities. progression opportunities, global impact, good salary, bon | excellent career progression opportunities, friendly &amp; supportive colleagues. - career progression"
mined,b01,positive,the future,the future,2,0.581,"word-boundary regex, hyphen/space flexible, case-insensitive",384,49,421,0.2099,37,71.15,2,Asset Management/Other; Financials,b07:229; b02:158; b06:157,4.189,1.425,b10,2.764,"looking enthusiastically to the future with julius baer, its employees and stakeholders. - great b | ucts, good holiday. old business trying to drag itself into the future.  | od management departing is beneficial. some uncertainty for the future. "
mined,b01,positive,future,future,1,0.578,"word-boundary regex, hyphen/space flexible, case-insensitive",1370,202,1497,0.7464,47,90.38,2,Asset Management/Other; Financials,b07:751; b02:545; b08:479,4.189,1.173,b11,3.016," slightly above average money. prestige name on your cv for future.. the culture and most people, especially senior, are outst | good work culture. good opportunities for future. little bit hectic job schedule..  | ation is half of market -slow pace of promotion -the firm's future in the us is highly uncertain. "
mined,b01,positive,a future,a future,2,0.577,"word-boundary regex, hyphen/space flexible, case-insensitive",34,5,38,0.0189,19,36.54,2,Asset Management/Other; Financials,b07:19; b06:18; b08:16,4.189,1.888,b11,2.301,"et worse with the new ceo. am looking elsewhere as cant see a future here..  | sonal relationship with senior people, you can forget about a future here. listen to one sided stories; if they don't like you,  | dge in terms of investing, that no doubt will be helpful in a future role or for your own knowledge.. i can't speak for the whol"
mined,b01,positive,your career progression,your career progression,3,0.577,"word-boundary regex, hyphen/space flexible, case-insensitive",20,1,21,0.0105,13,25.0,2,Asset Management/Other; Financials,b08:8; b06:6; b02:6,4.189,1.0,b04,3.189,"l from joining the firm, avoid unless you don't mind having your career progression penalised for no good reason..  | thers. member of staff are genuinely helpful and care about your career progression. a lot of ways to learn and progress through their employee | m that continues to grow. your manager is very important to your career progression and navigation of a very large organization. "
mined,b01,positive,longevity,longevity,1,0.574,"word-boundary regex, hyphen/space flexible, case-insensitive",118,16,131,0.0653,25,48.08,2,Asset Management/Other; Financials,b08:57; b07:51; b02:43,4.189,1.35,b11,2.838,"y value the company and have worked there for a long time.. longevity is a double edged sword, as for some sit can lead to very r |  salary. this is not an environment that fosters loyalty or longevity.  | slow steady paced culture... a firm that tends to encourage longevity..not uncommon to come across people who have spent the bett"
mined,b01,positive,long duration,long duration,2,0.571,"word-boundary regex, hyphen/space flexible, case-insensitive",6,1,7,0.0035,4,7.69,2,Asset Management/Other; Financials,b07:6; b02:4; b03:2,4.189,1.647,b07,2.541,"good learning exposure. night shift us timing difficult for long duration.  |   2. hierarchy level is flat which means it takes a person long duration to rise from one level to next. 3. long working hours make | nt opportunities.. being on the phones is challenging for a long duration. calls felt took scripted.. "
mined,b01,positive,a bright future,a bright future,3,0.57,"word-boundary regex, hyphen/space flexible, case-insensitive",17,1,18,0.009,15,28.85,2,Asset Management/Other; Financials,b07:10; b02:8; b08:7,4.189,1.022,b07,3.167,"great bank with a bright future. collaboration culture, entrepreneurial spirit, clear strat | from colleagues over the locations best part is that i see a bright future and career for me at apollo powai now nesco. wish my team w | portunities for growth, fast paced, successful company with a bright future. great learning ground for anyone looking to get into the f"
mined,b01,positive,future prospects,future prospects,2,0.569,"word-boundary regex, hyphen/space flexible, case-insensitive",16,4,20,0.01,12,23.08,2,Asset Management/Other; Financials,b07:7; b02:4; b05:3,4.189,0.418,b05,3.77,employees will openly say how hopeless they are about their future prospects are..  | l planning and advisory service. fortune 500 in the us. low future prospects in india.  | nalyst. great work environment and great location. no great future prospects. going up the ladder is not that easy. 
mined,b01,positive,limited progression opportunities,limited progression opportunities,3,0.564,"word-boundary regex, hyphen/space flexible, case-insensitive",11,3,13,0.0065,12,23.08,2,Asset Management/Other; Financials,b07:13; b02:3; b10:2,4.189,1.87,b07,2.319," progression. interesting and friendly working environment. limited progression opportunities in the company.  | limited progression opportunities. good range of benefits with progressive policies.. limited | great company, low pay. great employees but limited progression opportunities. limited learning opportunities and rare promotions. "
mined,b01,positive,good career progression,good career progression,3,0.561,"word-boundary regex, hyphen/space flexible, case-insensitive",58,3,60,0.0299,18,34.62,2,Asset Management/Other; Financials,b07:14; b06:11; b02:10,4.189,0.261,b06,3.928,"career maker. good career progression. opportunities for secondments and roles in portfolio compa | hit and miss. very good career progression, very nice office environment, sense of professionalism and | g. very nice people, good compensation and benefits, fairly good career progression options. behind the curve in most new trends, unsuccessful "
mined,b01,positive,better future,better future,2,0.559,"word-boundary regex, hyphen/space flexible, case-insensitive",8,1,9,0.0045,9,17.31,2,Asset Management/Other; Financials,b07:3; b06:2; b03:2,4.189,1.13,b03,3.059,"looking for a better future. less tension, good perks, good acomadation.. slow groth, s | ning every day some thing new. focused approach in building better future for our clients and employee friendly firm. take care emplo | nice place to work. very good place to work and for better future. night shifts are the problem. "
mined,b01,positive,future endeavors,future endeavors,2,0.559,"word-boundary regex, hyphen/space flexible, case-insensitive",7,0,7,0.0035,6,11.54,2,Asset Management/Other; Financials,b07:6; b02:4; b08:2,4.189,1.647,b07,2.541,"native investment vehicles, etc. that helped prepare me for future endeavors in finance. will provide sponsorship to sit for the series  | intern. experience was great for future endeavors.. people not approachable. makes it hard to learn..  | bout investing and can carry that knowledge with you in any future endeavors.. mid level leadership. the way your leader has to fight on"
mined,b01,positive,multiple years,multiple years,2,0.558,"word-boundary regex, hyphen/space flexible, case-insensitive",23,2,25,0.0125,11,21.15,2,Asset Management/Other; Financials,b08:14; b02:14; b07:13,4.189,2.492,b11,1.697,"o have long term career. several folks have worked here for multiple years. company is going through organizational changes that can b | s some onshore members have been working in their roles for multiple years. of course, there have been issues especially with teams be | ent coworkers no other positives. poor pay  no raises for multiple years lack of appreciation. "
mined,b01,positive,limited career progression,limited career progression,3,0.558,"word-boundary regex, hyphen/space flexible, case-insensitive",61,4,64,0.0319,24,46.15,2,Asset Management/Other; Financials,b07:22; b04:19; b10:15,4.189,1.318,b04,2.87,"good. very good work life balance. limited career progression at all.  | rtically organised structure: many layers of management and limited career progression. too many meetings.  | good place to work. - good work life balance. - limited career progression - things can move slowly. "
mined,b01,positive,extensive opportunities,extensive opportunities,2,0.553,"word-boundary regex, hyphen/space flexible, case-insensitive",11,0,11,0.0055,10,19.23,2,Asset Management/Other; Financials,b07:11; b02:6; b08:3,4.189,1.87,b07,2.319,"fast-paced, intense, growth-oriented. extensive opportunities to learn from colleagues. intense environment can be demand | h, reward based on merit, extremely intelligent atmosphere, extensive opportunities for those who work hard. none that i can think of!.  | account manager intern at pimco. extensive opportunities to learn the company's culture and structure. long working "
mined,b01,positive,the long haul,the long haul,3,0.552,"word-boundary regex, hyphen/space flexible, case-insensitive",23,7,29,0.0145,15,28.85,2,Asset Management/Other; Financials,b02:12; b07:9; b06:9,4.189,1.02,b06,3.168,not in it for the long haul. remote work and supportive sales staff. ambiguity when it  | revolving door for employees.  the only ones who stayed for the long haul were the executives with high salaries.  companies exist to | very corporate. good fit if you want to settle in for the long haul. depending on the team you're on it can feel like slow grow
mined,b01,positive,bright future,bright future,2,0.552,"word-boundary regex, hyphen/space flexible, case-insensitive",29,3,32,0.016,18,34.62,2,Asset Management/Other; Financials,b07:16; b02:14; b08:11,4.189,0.981,b02,3.207,"great bank with a bright future. collaboration culture, entrepreneurial spirit, clear strat | mpany excellent to their staff, very work orientated.. very bright future, surrounded by smart and knowledgeable individuals that wil | om colleagues over the locations best part is that i see a bright future and career for me at apollo powai now nesco. wish my team w"
mined,b01,positive,good investment,good investment,2,0.551,"word-boundary regex, hyphen/space flexible, case-insensitive",71,6,72,0.0359,26,50.0,2,Asset Management/Other; Financials,b02:72; b06:20; b07:19,4.189,2.174,b02,2.015,"ould be better.. good brand name, good working environment, good investment team. less training & less salary. less opportunity to grow | ing a good corporate citizen is more important than being a good investment professional.  | -. nice and friendly stafff good investment research team strong funds team and fx team. poor salary in"
mined,b01,positive,the long run,the long run,3,0.55,"word-boundary regex, hyphen/space flexible, case-insensitive",92,23,111,0.0553,27,51.92,2,Asset Management/Other; Financials,b07:53; b02:43; b08:41,4.189,1.865,b11,2.324,"nce working across apartments would have been beneficial in the long run..  | , and made poor decisions that does not benefit the firm in the long run..  |  kind of approach can be very detrimental to the company in the long run, as it can lead to a loss of talent and institutional knowl"
mined,b01,positive,good future,good future,2,0.55,"word-boundary regex, hyphen/space flexible, case-insensitive",18,1,19,0.0095,14,26.92,2,Asset Management/Other; Financials,b07:5; b03:5; b06:5,4.189,1.374,b03,2.815,"nice office space - solid company with good reputation and good future plans - good career opportunities if you are in the right  | art. it's a very good start to get into northern trust got good future. depends on the process you get in.  | company has good future, too much politics. benefits are market standard work-life"
mined,b01,positive,future opportunities,future opportunities,2,0.548,"word-boundary regex, hyphen/space flexible, case-insensitive",44,4,48,0.0239,15,28.85,2,Asset Management/Other; Financials,b07:48; b02:18; b08:12,4.189,1.87,b07,2.319,"people. having the company's name on your resume helps with future opportunities.. difficult to advance, especially if you are not on a alre | ition/department. i hope to be here long-term, depending on future opportunities. overall a really good firm with a positive outlook.. the f | good. good reputation that carries over for future opportunities. big company and the typical issues that come with it.. "
mined,b01,positive,good career growth,good career growth,3,0.548,"word-boundary regex, hyphen/space flexible, case-insensitive",78,3,79,0.0394,15,28.85,2,Asset Management/Other; Financials,b02:79; b07:28; b08:20,4.189,2.174,b02,2.015,good career growth but bad wlb. lots to learn and opportunities to contribute  | good. can get cross border knowledge. good career growth plans. salary doesn't match with market extended work hours | potential growth company. good career growth and compensation. indian management is bad as there is a mi
mined,b01,positive,great career progression,great career progression,3,0.547,"word-boundary regex, hyphen/space flexible, case-insensitive",28,2,29,0.0145,10,19.23,2,Asset Management/Other; Financials,b07:6; b03:6; b08:5,4.189,1.027,b03,3.162,"great. great career progression, good managers. the low entry level salary.  |  you work with x amount of teams from different continents, great career progression system. odd working hours due to na clients.  | good money, long hours. good pay, great career progression, company benefits. long hours, corporate hierarchy didn’t s"
mined,b01,positive,the career growth,the career growth,3,0.546,"word-boundary regex, hyphen/space flexible, case-insensitive",12,1,13,0.0065,8,15.38,2,Asset Management/Other; Financials,b02:13; b07:4; b09:3,4.189,2.174,b02,2.015,"good for beginners but the career growth is missing.. good company to begin career. high employee tu | eferably take on other roles to gain exposure to accelerate the career growth..  | utation and is growing very fast.. the biggest challenge is the career growth. if you don't join at the right level, then you will strugg"
mined,b01,positive,future career,future career,2,0.544,"word-boundary regex, hyphen/space flexible, case-insensitive",75,9,83,0.0414,19,36.54,2,Asset Management/Other; Financials,b07:54; b02:25; b08:23,4.189,1.568,b11,2.62,"ace. good environment, good people, balanced life. not many future career opportunities.  | .  my manager was extremely supportive in helping me find a future career path; regardless, of if it was within the company or not.   | pany. large company pros - good benefits, lots of areas for future career moves, training, learning from and with smart colleagues, s"
mined,b01,positive,the retirement plan,the retirement plan,3,0.54,"word-boundary regex, hyphen/space flexible, case-insensitive",36,0,35,0.0175,6,11.54,2,Asset Management/Other; Financials,b08:19; b06:18; b02:13,4.189,1.749,b06,2.44,"efits and compensation are competitive for the industry and the retirement plan match is incredible. licensing and upkeep of licenses is en | edge on both the retail individual investor side as well as the retirement plan services side. high turn over, very heavy in corporate poli | ment is held accountable  so fair treatment is assured. and the retirement plan sets the standard. longevity is not promised. every few yea"
mined,b01,negative,short term,short term,2,1.077,"word-boundary regex, hyphen/space flexible, case-insensitive",352,31,373,0.186,38,73.08,2,Asset Management/Other; Financials,b07:196; b02:169; b08:138,4.189,1.593,b11,2.596,"nd constant restructuring are all brushed aside in favor of short-term financial goals. it’s frustrating to see how little attenti | than complaining the pay isn’t good, try to look at it as a short term sacrifice for long term gain, just like attending universit | inue to recommend partners group to my friends. not for the short term job hopper, a substantial proportion of remuneration is bac"
mined,b01,negative,short term thinking,short term thinking,3,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",6,1,7,0.0035,4,7.69,2,Asset Management/Other; Financials,b08:3; b07:3; b04:3,4.189,2.013,b10,2.175,work. vanguard is a great place to work. not public so less short term thinking.. may not be a competitive salary relative to other compani | gating covid pandemic). high pace of change tends to reward short-term thinking; great innovation but not pervasive across all areas; long  | nt. that doesn't really inspire juniors or promote loyalty. short term thinking.. 
mined,b01,negative,quarterly targets,quarterly targets,2,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",1,0,1,0.0005,1,1.92,1,Financials,b07:1; b06:1; b08:1,4.189,3.739,b12,0.45," permanent and contract), stop  taking shortcuts to achieve quarterly targets. happier employees will equal better service and more custo"
mined,b01,negative,short term results,short term results,3,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",5,0,5,0.0025,5,9.62,2,Asset Management/Other; Financials,b07:3; b02:3; b06:2,4.189,1.437,b02,2.752,"ve but tough. innovative and fast paced culture. focused on short term results.  | review. leader in the industry. intense work environment;   short term results oriented..  | f this exists anymore.. the us wm business is being run for short-term results, not long-term growth.. "
mined,b01,negative,hit the numbers,hit the numbers,3,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",4,0,4,0.002,3,5.77,2,Asset Management/Other; Financials,b06:4; b02:4; b11:2,4.189,3.136,b11,1.053,"e metric dashboard is broken for 6 months you still have to hit the numbers not knowing where you are halfway through the year. one of  | ok when you are being recruited but unless you feel you can hit the numbers easily, be leery of living on commissions only. thats the n | ensation.  management intimidation.   enormous pressure to ""hit the numbers"" with little effort to truly determine the issues and recon"
mined,b01,negative,monthly targets,monthly targets,2,1.0,"word-boundary regex, hyphen/space flexible, case-insensitive",1,0,1,0.0005,1,1.92,1,Financials,b08:1; b05:1; b07:1,4.189,3.739,b12,0.45,"t too cliquey, if you don't 'fit in' - you're out the door, monthly targets come first over health and well-being, kept on the phones l"
