term,cosine_similarity,proposed_weight,corpus_frequency,is_seed,cross_loads_to,expert_approved,expert_weight_override,notes
capabilities,0.4951,0.25,244,False,tight_loose__loose_control; pragmatic_normative__pragmatic; mit__performance,,,
are responsible,0.4948,0.25,59,False,,,,
take responsibility,0.4944,0.25,58,False,mit__execution; mit__respect,,,
approach and,0.4944,0.25,52,False,process_results__process_oriented; process_results__results_oriented; mit__innovation,,,
and responsibility,0.4938,0.25,80,False,,,,
knowledgeable and,0.4933,0.25,122,False,pragmatic_normative__pragmatic,,,
positive attitude,0.4932,0.25,50,False,mit__integrity; mit__respect,,,
based and,0.4928,0.25,97,False,,,,
you value,0.4926,0.25,57,False,,,,
company values,0.4926,0.25,234,False,professional_parochial__parochial,,,
approach,0.4923,0.25,973,False,process_results__process_oriented; open_closed__closed_system; pragmatic_normative__pragmatic; mit__innovation,,,
evaluation,0.4922,0.25,157,False,process_results__process_oriented; process_results__results_oriented; mit__execution; mit__performance,,,
more responsibility,0.492,0.25,116,False,mit__execution; mit__respect,,,
priorities,0.492,0.25,334,False,,,,
quality work,0.4919,0.25,473,False,mit__integrity; mit__performance,,,
dealing,0.4919,0.25,410,False,open_closed__closed_system; mit__execution; mit__respect,,,
technology,0.4918,0.25,8325,False,process_results__process_oriented; tight_loose__tight_control; tight_loose__loose_control; pragmatic_normative__pragmatic; mit__innovation,,,
criteria,0.4917,0.25,160,False,process_results__process_oriented,,,
quality and,0.4916,0.25,112,False,mit__integrity; mit__performance,,,
attitude towards,0.4916,0.25,52,False,mit__integrity; mit__respect,,,
complex,0.4915,0.25,926,False,open_closed__closed_system; tight_loose__loose_control,,,
for innovation,0.4915,0.25,112,False,open_closed__open_system; pragmatic_normative__pragmatic; mit__innovation,,,
the quality,0.4903,0.25,264,False,mit__integrity; mit__respect,,,
controlled,0.4902,0.25,117,False,tight_loose__tight_control; tight_loose__loose_control,,,
management and,0.49,0.25,2249,False,process_results__process_oriented; process_results__results_oriented; professional_parochial__professional; tight_loose__tight_control; tight_loose__loose_control; mit__execution; mit__performance,,,
morale,0.4898,0.25,1237,False,job_employee__employee_oriented; mit__respect,,,
achieving,0.4896,0.25,125,False,process_results__results_oriented; open_closed__open_system; mit__execution; mit__innovation; mit__performance,,,
caring and,0.4895,0.25,68,False,mit__integrity; mit__respect,,,
quality life,0.4895,0.25,94,False,mit__integrity; mit__respect,,,
the data,0.4891,0.25,59,False,,,,
value for,0.4887,0.25,107,False,,,,
empowerment,0.4884,0.25,144,False,tight_loose__loose_control,,,
enviornment,0.4884,0.25,188,False,,,,
laws,0.4883,0.25,53,False,tight_loose__tight_control,,,
behave,0.488,0.25,73,False,,,,
lot responsibility,0.4879,0.25,140,False,,,,
leadership and,0.4879,0.25,510,False,process_results__results_oriented; tight_loose__tight_control; tight_loose__loose_control; mit__collaboration; mit__execution; mit__performance,,,
influence,0.4877,0.25,210,False,open_closed__open_system; open_closed__closed_system; tight_loose__loose_control; mit__integrity,,,
system for,0.4874,0.25,61,False,,,,
governance,0.4868,0.25,156,False,tight_loose__tight_control; tight_loose__loose_control,,,
agreement,0.4866,0.25,57,False,mit__collaboration; mit__integrity,,,
approachable and,0.4866,0.25,149,False,process_results__process_oriented; pragmatic_normative__pragmatic,,,
approachable,0.4863,0.25,724,False,pragmatic_normative__pragmatic,,,
functioning,0.4862,0.25,54,False,process_results__results_oriented; tight_loose__loose_control; mit__execution,,,
wealth,0.4858,0.25,1815,False,tight_loose__loose_control,,,
trust,0.4856,0.25,1322,False,mit__integrity; mit__respect,,,
based the,0.4855,0.25,230,False,,,,
commitment,0.4851,0.25,545,False,mit__integrity,,,
situations,0.485,0.25,249,False,process_results__results_oriented; open_closed__closed_system; pragmatic_normative__pragmatic; mit__diversity,,,
purpose,0.485,0.25,274,False,,,,
standards good,0.4843,0.25,98,False,mit__performance,,,
based experience,0.4842,0.25,50,False,open_closed__open_system; pragmatic_normative__pragmatic; mit__performance,,,
work ethic,0.4838,0.25,411,False,job_employee__job_oriented; job_employee__employee_oriented,,,
control,0.4837,0.25,859,False,tight_loose__tight_control; tight_loose__loose_control,,,
the importance,0.4835,0.25,77,False,,,,
handling,0.4835,0.25,201,False,process_results__process_oriented; tight_loose__tight_control; mit__execution; mit__respect,,,
implemented,0.4834,0.25,229,False,process_results__process_oriented; tight_loose__tight_control,,,
lots responsibility,0.4834,0.25,118,False,,,,
fulfilling,0.4829,0.25,199,False,process_results__results_oriented; mit__execution,,,
